trip_id,traffic,delay_min,avg_speed
T000001,Low,0,60
T000002,Low,12,75
T000003,High,17,41
T000004,High,16,45
T000005,Medium,15,64
T000006,High,19,65
T000007,High,23,63
T000008,Low,14,68
T000009,High,6,59
T000010,Low,9,77
T000011,Medium,17,28
T000012,High,28,73
T000013,Low,20,55
T000014,High,30,61
T000015,Medium,5,48
T000016,Medium,14,27
T000017,Medium,15,52
T000018,Medium,0,74
T000019,Medium,8,72
T000020,High,14,29
T000021,High,21,27
T000022,High,21,35
T000023,Medium,16,33
T000024,Medium,6,35
T000025,Medium,11,69
T000026,Medium,23,57
T000027,High,29,76
T000028,Medium,26,31
T000029,Low,16,49
T000030,High,10,25
T000031,Medium,11,64
T000032,Medium,14,67
T000033,Low,17,29
T000034,High,21,71
T000035,High,13,31
T000036,Medium,17,45
T000037,Medium,3,22
T000038,Low,17,33
T000039,High,30,57
T000040,Medium,7,39
T000041,Medium,26,32
T000042,Low,23,68
T000043,Low,25,66
T000044,Medium,10,34
T000045,Medium,30,23
T000046,Low,0,20
T000047,Low,25,45
T000048,High,0,64
T000049,High,28,54
T000050,High,23,28
T000051,Medium,11,55
T000052,Low,10,43
T000053,Medium,19,58
T000054,Low,5,47
T000055,Medium,25,75
T000056,Medium,7,40
T000057,High,26,74
T000058,Medium,25,43
T000059,Low,16,67
T000060,Medium,6,53
T000061,Medium,17,30
T000062,High,6,37
T000063,Medium,11,42
T000064,High,4,56
T000065,High,26,44
T000066,Medium,18,67
T000067,High,1,48
T000068,Low,17,37
T000069,High,4,35
T000070,Medium,11,49
T000071,High,18,28
T000072,Low,29,28
T000073,High,2,65
T000074,High,2,66
T000075,Medium,23,33
T000076,Low,19,58
T000077,Low,19,24
T000078,Medium,30,70
T000079,Medium,10,45
T000080,Low,22,28
T000081,Low,18,60
T000082,High,27,75
T000083,Low,2,56
T000084,Low,6,38
T000085,Low,24,62
T000086,High,28,43
T000087,High,26,67
T000088,Low,14,36
T000089,Low,30,45
T000090,Low,30,61
T000091,Low,29,56
T000092,High,15,46
T000093,Low,16,40
T000094,Low,7,37
T000095,Medium,4,56
T000096,High,25,28
T000097,Low,10,39
T000098,High,23,64
T000099,High,10,30
T000100,Medium,13,30
T000101,Low,2,41
T000102,Medium,6,46
T000103,Medium,0,33
T000104,Medium,14,22
T000105,High,30,54
T000106,Medium,6,71
T000107,Low,27,37
T000108,Low,11,76
T000109,Low,1,67
T000110,Medium,6,78
T000111,Low,1,35
T000112,Medium,15,57
T000113,Medium,13,52
T000114,Medium,12,74
T000115,High,15,24
T000116,High,23,21
T000117,High,27,30
T000118,High,28,41
