vehicle_id,vehicle_no,vehicle_type,fuel_type,mileage,capacity_kg,vehicle_age_years,total_km,service_count,last_service_days_ago,breakdown_count,maintenance_cost_total,fuel_efficiency_drop_pct
V0001,KA09AB1001,Mini Truck,CNG,6.5,1893,3.4,92678,9,2,0,32067,47.22
V0002,KA09AB1002,Van,Petrol,13.7,9042,7.4,168349,16,140,0,40393,36.07
V0003,KA09AB1003,Truck,Diesel,12.9,8690,2.7,51650,7,142,1,29647,30.25
V0004,KA09AB1004,Pickup,Electric,10.1,1841,5.0,118844,10,38,0,25332,52.38
V0005,KA09AB1005,Van,Electric,7.4,2070,5.6,126763,10,20,0,37003,43.6
V0006,KA09AB1006,Pickup,Electric,6.9,11312,8.9,253836,30,19,0,92904,29.01
V0007,KA09AB1007,Truck,Petrol,7.8,10221,5.3,125838,10,60,0,18455,26.72
V0008,KA09AB1008,Van,Diesel,17.9,2940,2.5,52058,5,25,0,18178,43.78
V0009,KA09AB1009,Pickup,Petrol,15.3,7232,5.8,189868,19,103,0,84306,38.88
V0010,KA09AB1010,Pickup,Electric,9.6,10642,3.0,89791,7,88,0,29922,20.85
V0011,KA09AB1011,Pickup,CNG,12.8,1986,1.6,50589,5,118,0,14269,46.7
V0012,KA09AB1012,Truck,Petrol,13.5,5335,4.4,121642,12,87,1,49814,44.62
V0013,KA09AB1013,Truck,Petrol,8.9,10043,0.5,11671,1,33,0,3500,40.35
V0014,KA09AB1014,Truck,Petrol,6.0,8381,2.3,49417,4,13,0,14921,44.16
V0015,KA09AB1015,Pickup,CNG,6.4,5720,0.9,20092,2,1,0,6430,35.8
V0016,KA09AB1016,Van,Electric,6.9,4824,6.1,181085,23,110,0,58360,31.87
V0017,KA09AB1017,Van,Petrol,11.1,9922,1.8,44409,6,50,0,21881,33.89
V0018,KA09AB1018,Mini Truck,Petrol,16.9,3330,5.5,83066,7,182,0,24941,38.27
V0019,KA09AB1019,Truck,Diesel,8.0,6039,4.9,116451,14,118,0,33537,39.45
V0020,KA09AB1020,Van,Electric,7.5,5982,2.9,44960,4,202,0,11894,31.44
V0021,KA09AB1021,Pickup,CNG,12.0,9090,4.3,107479,13,142,0,43616,25.09
V0022,KA09AB1022,Pickup,Diesel,13.2,8078,6.9,115762,12,3,0,38303,38.38
V0023,KA09AB1023,Van,CNG,6.3,4750,2.0,32833,4,13,0,14032,33.67
V0024,KA09AB1024,Truck,CNG,12.9,3870,0.6,14827,1,37,0,3671,33.28
V0025,KA09AB1025,Pickup,Electric,17.0,3973,4.8,112947,13,63,0,45738,51.18
V0026,KA09AB1026,Pickup,Electric,17.6,8700,8.0,112235,11,139,1,42567,30.78
V0027,KA09AB1027,Van,Electric,10.0,11979,5.2,148145,15,22,0,35756,38.51
V0028,KA09AB1028,Truck,Petrol,10.0,9117,6.3,232965,20,1,0,71250,25.68
V0029,KA09AB1029,Van,Electric,15.8,10012,5.1,77070,10,130,1,50793,23.05
V0030,KA09AB1030,Truck,Electric,7.1,5135,0.6,20951,2,46,0,8757,24.96
V0031,KA09AB1031,Van,Diesel,17.6,7622,2.8,55645,6,11,0,19037,35.4
V0032,KA09AB1032,Truck,Electric,11.0,4073,2.4,50485,5,92,0,15857,42.8
V0033,KA09AB1033,Van,Electric,13.5,1845,4.3,98585,9,13,0,36545,44.06
V0034,KA09AB1034,Mini Truck,CNG,12.6,5719,5.1,78175,8,24,0,32447,38.15
V0035,KA09AB1035,Pickup,Electric,7.5,11322,4.7,149435,14,24,0,47556,34.12
V0036,KA09AB1036,Mini Truck,Petrol,9.7,1224,6.8,183302,19,76,0,68780,55.18
V0037,KA09AB1037,Pickup,Diesel,8.7,2858,2.9,56525,5,61,0,13677,48.61
