trip_id,condition,temperature,humidity,wind_kmph
T000001,Fog,35,78,19
T000002,Rain,36,75,2
T000003,Rain,24,42,13
T000004,Fog,21,60,11
T000005,Rain,32,61,7
T000006,Clear,29,59,16
T000007,Clear,31,72,27
T000008,Fog,34,63,13
T000009,Rain,28,85,16
T000010,Clear,22,75,19
T000011,Cloudy,31,69,27
T000012,Fog,36,62,6
T000013,Clear,22,56,8
T000014,Clear,20,45,3
T000015,Clear,22,84,3
T000016,Cloudy,23,60,9
T000017,Rain,26,88,7
T000018,Clear,35,58,19
T000019,Rain,34,88,19
T000020,Rain,30,70,18
T000021,Fog,20,63,12
T000022,Clear,32,49,28
T000023,Clear,21,85,6
T000024,Cloudy,28,79,17
T000025,Rain,32,65,28
T000026,Clear,24,46,21
T000027,Cloudy,25,66,22
T000028,Rain,25,66,30
T000029,Rain,35,48,29
T000030,Fog,32,67,18
T000031,Fog,20,56,22
T000032,Cloudy,24,70,6
T000033,Cloudy,36,52,20
T000034,Cloudy,21,75,16
T000035,Clear,35,42,11
T000036,Fog,31,47,7
T000037,Clear,26,86,26
T000038,Clear,32,68,9
T000039,Rain,28,43,19
T000040,Clear,35,55,29
T000041,Fog,22,74,25
T000042,Clear,26,87,5
T000043,Fog,35,69,5
T000044,Rain,29,49,8
T000045,Rain,25,74,22
T000046,Clear,35,82,17
T000047,Rain,28,62,10
T000048,Cloudy,35,43,22
T000049,Rain,22,83,10
T000050,Cloudy,30,64,26
T000051,Clear,34,71,9
T000052,Fog,24,87,14
T000053,Rain,31,75,4
T000054,Fog,35,49,4
T000055,Rain,30,79,14
T000056,Cloudy,35,76,27
T000057,Clear,29,84,4
T000058,Cloudy,33,74,3
T000059,Rain,23,56,9
T000060,Cloudy,30,69,27
T000061,Fog,27,73,7
T000062,Fog,20,85,8
T000063,Cloudy,32,77,5
T000064,Rain,32,66,21
T000065,Cloudy,35,48,8
T000066,Fog,25,89,16
T000067,Rain,27,59,29
T000068,Clear,21,76,13
T000069,Rain,24,84,29
T000070,Fog,28,84,30
T000071,Clear,29,61,19
T000072,Clear,33,52,24
T000073,Clear,27,67,22
T000074,Cloudy,22,54,14
T000075,Cloudy,25,68,13
T000076,Cloudy,22,55,19
T000077,Rain,27,71,22
T000078,Fog,26,42,3
T000079,Fog,26,49,19
T000080,Cloudy,25,47,2
T000081,Rain,22,56,24
T000082,Fog,36,40,3
T000083,Cloudy,30,57,28
T000084,Cloudy,34,40,13
T000085,Fog,20,61,2
T000086,Cloudy,36,66,24
T000087,Cloudy,30,65,24
T000088,Cloudy,26,68,11
T000089,Clear,28,51,2
T000090,Fog,31,83,22
T000091,Clear,34,43,7
T000092,Fog,27,81,11
T000093,Fog,35,62,20
T000094,Cloudy,23,55,23
T000095,Fog,31,76,20
T000096,Fog,30,79,8
T000097,Rain,32,77,5
T000098,Fog,25,64,11
T000099,Fog,22,55,13
T000100,Rain,32,68,25
T000101,Fog,30,56,5
T000102,Clear,23,61,8
T000103,Clear,35,52,5
T000104,Clear,32,63,7
T000105,Rain,32,73,15
T000106,Clear,34,51,7
T000107,Fog,32,75,12
T000108,Fog,29,74,30
T000109,Fog,30,84,9
T000110,Rain,22,52,16
T000111,Rain,26,52,28
T000112,Cloudy,34,51,29
T000113,Clear,26,57,22
T000114,Clear,28,67,30
T000115,Fog,29,83,5
T000116,Rain,30,83,6
T000117,Fog,31,72,11
T000118,Rain,29,66,27
T000119,Clear,33,43,29
T000120,Fog,34,57,8
T000121,Clear,31,40,30
T000122,Cloudy,29,58,16
T000123,Rain,24,53,25
T000124,Clear,20,43,24
T000125,Cloudy,24,66,28
T000126,Cloudy,35,53,24
T000127,Clear,34,58,10
T000128,Rain,25,61,13
T000129,Cloudy,25,47,6
T000130,Fog,24,70,17
T000131,Rain,23,67,23
T000132,Cloudy,22,88,17
T000133,Fog,35,87,22
T000134,Clear,27,69,12
T000135,Clear,23,42,30
T000136,Clear,33,42,22
T000137,Cloudy,25,86,28
T000138,Fog,36,59,28
T000139,Cloudy,30,85,5
T000140,Fog,21,52,10
T000141,Clear,27,87,22
T000142,Rain,28,52,21
T000143,Rain,25,87,18
T000144,Cloudy,29,71,27
T000145,Cloudy,30,61,13
T000146,Clear,30,64,27
T000147,Rain,23,50,26
T000148,Cloudy,22,87,23
T000149,Clear,32,67,12
T000150,Clear,29,88,16
T000151,Fog,20,75,29
T000152,Clear,28,52,5
T000153,Fog,31,48,23
T000154,Rain,30,55,27
T000155,Rain,24,74,8
T000156,Clear,31,65,9
T000157,Fog,24,87,25
T000158,Clear,21,42,22
T000159,Cloudy,27,73,14
T000160,Clear,31,78,24
T000161,Fog,25,48,22
T000162,Fog,35,70,7
T000163,Cloudy,32,64,6
T000164,Fog,22,70,23
T000165,Fog,23,67,6
T000166,Fog,30,66,13
T000167,Fog,35,56,11
T000168,Clear,21,50,14
T000169,Fog,29,85,21
T000170,Rain,20,50,4
T000171,Cloudy,28,54,21
T000172,Fog,28,84,16
T000173,Fog,30,66,13
T000174,Clear,28,51,25
T000175,Cloudy,35,79,2
T000176,Fog,24,43,18
T000177,Cloudy,30,63,21
T000178,Rain,24,76,23
T000179,Fog,30,90,17
T000180,Cloudy,28,62,2
T000181,Cloudy,24,50,22
T000182,Clear,34,89,29
T000183,Cloudy,35,75,3
T000184,Rain,25,41,3
T000185,Rain,29,62,17
T000186,Cloudy,35,59,2
T000187,Rain,22,67,22
T000188,Rain,35,52,12
T000189,Rain,29,90,27
T000190,Cloudy,23,89,24
T000191,Fog,21,87,19
T000192,Clear,27,40,3
T000193,Clear,24,84,19
T000194,Rain,29,74,24
T000195,Rain,20,89,22
T000196,Cloudy,30,66,22
